interaction_id,client_id,advisor_id,date,type,initiated_by,duration_minutes,outcome,sentiment,topics_discussed,commitment_made,commitment_fulfilled,follow_up_created,follow_up_due_date
I0001,C0001,ADV001,2026-05-03,Phone call,client,16,positive — action taken,positive,family financial planning,False,,False,
I0002,C0002,ADV001,2025-01-15,Phone call,client,10,neutral — information provided,positive,business exit planning|next gen engagement,False,,False,
I0003,C0002,ADV001,2025-02-11,Phone call,advisor,18,positive — action taken,positive,portfolio review,False,,False,
I0004,C0002,ADV001,2025-03-10,Phone call,client,25,positive — follow up scheduled,positive,business exit planning|new investment opportunity|estate planning,True,True,True,2025-04-03
I0005,C0002,ADV001,2025-04-30,Video call,advisor,37,negative — client concerned,negative,inheritance planning|business exit planning|rebalancing,True,True,True,2025-05-30
I0006,C0002,ADV001,2025-05-12,Video call,advisor,60,neutral — client to consider,neutral,market update|insurance review|risk tolerance review,False,,False,
I0007,C0002,ADV001,2025-07-03,Phone call,advisor,29,neutral — information provided,positive,portfolio review,False,,False,
I0008,C0002,ADV001,2025-08-19,Phone call,advisor,20,neutral — information provided,neutral,goal progress|property discussion|portfolio review,True,True,True,2025-08-30
I0009,C0002,ADV001,2025-09-23,In-person meeting,client,68,negative — complaint raised,negative,inheritance planning|tax planning|goal progress,True,False,False,2025-10-23
I0010,C0002,ADV001,2025-10-09,In-person meeting,client,56,positive — follow up scheduled,neutral,business exit planning|new investment opportunity|property discussion,False,,False,
I0011,C0002,ADV001,2026-01-07,Phone call,client,15,neutral — information provided,positive,portfolio review|inheritance planning|risk tolerance review,True,True,True,2026-02-02
I0012,C0002,ADV001,2026-02-05,Email,client,0,positive — action taken,positive,estate planning|new investment opportunity|goal progress,True,False,True,2026-02-14
I0013,C0002,ADV001,2026-02-13,Email,client,0,positive — follow up scheduled,positive,family financial planning,True,True,True,2026-02-28
I0014,C0002,ADV001,2026-04-15,In-person meeting,advisor,71,positive — action taken,positive,risk tolerance review,False,,False,
I0015,C0002,ADV001,2026-05-05,Phone call,advisor,28,neutral — information provided,neutral,new investment opportunity|goal progress|philanthropic planning,False,,False,
I0016,C0002,ADV001,2026-06-02,Phone call,advisor,13,positive — follow up scheduled,positive,property discussion,False,,False,
I0017,C0003,ADV001,2025-01-11,Review meeting,advisor,119,neutral — information provided,neutral,family financial planning|cash flow review|market update,True,True,True,2025-02-04
I0018,C0003,ADV001,2025-02-03,Phone call,advisor,19,positive — follow up scheduled,positive,next gen engagement|insurance review|retirement planning,True,True,True,2025-02-12
I0019,C0003,ADV001,2025-03-16,Phone call,client,18,positive — follow up scheduled,positive,inheritance planning,False,,False,
I0020,C0003,ADV001,2025-03-24,Phone call,advisor,24,positive — action taken,positive,family financial planning|new investment opportunity,False,,False,
I0021,C0003,ADV001,2025-05-20,Phone call,client,21,positive — follow up scheduled,positive,risk tolerance review|new investment opportunity|family financial planning,False,,False,
I0022,C0003,ADV001,2025-05-28,In-person meeting,advisor,75,positive — follow up scheduled,positive,new investment opportunity|next gen engagement|market update,False,,False,
I0023,C0003,ADV001,2025-07-09,Video call,advisor,46,neutral — client to consider,neutral,market update|tax planning|inheritance planning,True,False,True,2025-07-22
I0024,C0003,ADV001,2025-11-15,Phone call,advisor,23,neutral — client to consider,negative,market update,True,False,True,2025-11-24
I0025,C0003,ADV001,2025-11-22,Email,advisor,0,positive — follow up scheduled,neutral,rebalancing|portfolio review|inheritance planning,False,,False,
I0026,C0003,ADV001,2026-02-25,Email,advisor,0,positive — follow up scheduled,positive,tax planning,False,,False,
I0027,C0003,ADV001,2026-02-28,Phone call,advisor,21,neutral — information provided,positive,family financial planning|inheritance planning,False,,False,
I0028,C0003,ADV001,2026-04-19,Email,advisor,0,positive — follow up scheduled,positive,inheritance planning,False,,False,
I0029,C0004,ADV001,2024-12-31,In-person meeting,client,48,positive — follow up scheduled,neutral,goal progress|estate planning|market update,False,,False,
I0030,C0004,ADV001,2025-01-30,Phone call,client,10,neutral — information provided,neutral,insurance review,False,,False,
I0031,C0004,ADV001,2025-03-12,Phone call,advisor,16,neutral — client to consider,negative,business exit planning|rebalancing,False,,False,
I0032,C0004,ADV001,2025-03-21,Video call,client,45,positive — action taken,positive,rebalancing|goal progress|risk tolerance review,False,,False,
I0033,C0004,ADV001,2025-04-27,Phone call,advisor,12,neutral — information provided,neutral,portfolio review|inheritance planning,True,True,False,2025-05-10
I0034,C0004,ADV001,2025-06-21,Email,client,0,neutral — information provided,positive,philanthropic planning|portfolio review,True,False,True,2025-07-18
I0035,C0004,ADV001,2025-07-15,In-person meeting,advisor,64,neutral — client to consider,neutral,family financial planning|risk tolerance review|rebalancing,False,,False,
I0036,C0004,ADV001,2025-08-01,Email,advisor,0,neutral — information provided,positive,inheritance planning|tax planning|portfolio review,False,,False,
I0037,C0004,ADV001,2025-08-11,Review meeting,client,98,neutral — information provided,neutral,cash flow review|philanthropic planning|property discussion,False,,False,
I0038,C0004,ADV001,2025-09-12,Phone call,advisor,18,positive — follow up scheduled,positive,cash flow review|insurance review,False,,False,
I0039,C0004,ADV001,2025-09-12,Phone call,advisor,29,positive — follow up scheduled,neutral,property discussion|market update,True,True,True,2025-09-28
I0040,C0004,ADV001,2025-09-24,Email,advisor,0,neutral — information provided,positive,insurance review|property discussion|business exit planning,True,True,False,2025-10-16
I0041,C0004,ADV001,2025-10-14,Email,advisor,0,neutral — client to consider,neutral,goal progress|cash flow review|retirement planning,True,True,True,2025-11-07
I0042,C0004,ADV001,2025-10-17,Phone call,client,12,positive — follow up scheduled,positive,business exit planning,False,,False,
I0043,C0004,ADV001,2025-10-25,Phone call,client,18,positive — follow up scheduled,positive,cash flow review|rebalancing|risk tolerance review,False,,False,
I0044,C0004,ADV001,2025-11-04,Video call,advisor,32,neutral — client to consider,negative,insurance review|tax planning,False,,False,
I0045,C0004,ADV001,2025-11-15,Phone call,advisor,14,neutral — client to consider,neutral,property discussion,False,,False,
